92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /tomcat.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:51:05 +0000] "GET / HTTP/1.1" 404 1074
92.31.59.19 - - [07/Feb/2019:22:51:26 +0000] "GET /devTomCatInfo/ HTTP/1.1" 404 1092
92.31.59.19 - - [07/Feb/2019:22:51:47 +0000] "GET / HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:51:50 +0000] "GET / HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:51:58 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:56:34 +0000] "GET / HTTP/1.1" 200 5110
92.31.59.19 - - [07/Feb/2019:22:56:34 +0000] "GET /style.css HTTP/1.1" 200 534
92.31.59.19 - - [07/Feb/2019:22:56:34 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo HTTP/1.1" 302 -
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/ HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/tomcat.css HTTP/1.1" 200 5581
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/tomcat.png HTTP/1.1" 200 5103
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/asf-logo-wide.svg HTTP/1.1" 200 27235
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/bg-nav.png HTTP/1.1" 200 1401
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/bg-upper.png HTTP/1.1" 200 3103
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/bg-button.png HTTP/1.1" 200 713
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/bg-middle.png HTTP/1.1" 200 1918
92.31.59.19 - - [07/Feb/2019:22:56:49 +0000] "GET /devTomCatInfo/favicon.ico HTTP/1.1" 200 21630
31.13.115.13 - - [07/Feb/2019:22:57:23 +0000] "GET / HTTP/1.1" 206 5110
31.13.115.2 - - [07/Feb/2019:22:57:23 +0000] "GET / HTTP/1.1" 206 5110
31.13.115.8 - - [07/Feb/2019:22:57:24 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
31.13.115.2 - - [07/Feb/2019:22:57:25 +0000] "GET / HTTP/1.1" 206 5110
213.205.241.11 - - [07/Feb/2019:22:57:43 +0000] "GET / HTTP/1.1" 200 5110
213.205.241.11 - - [07/Feb/2019:22:57:43 +0000] "GET /style.css HTTP/1.1" 200 534
213.205.241.11 - - [07/Feb/2019:22:57:43 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
86.132.192.143 - - [07/Feb/2019:22:58:01 +0000] "GET / HTTP/1.1" 200 5110
86.132.192.143 - - [07/Feb/2019:22:58:01 +0000] "GET /style.css HTTP/1.1" 200 534
86.132.192.143 - - [07/Feb/2019:22:58:01 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
86.132.192.143 - - [07/Feb/2019:22:58:01 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
92.31.59.19 - - [07/Feb/2019:22:58:12 +0000] "GET /devTomCatInfo/ HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:58:13 +0000] "GET /devTomCatInfo/ HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:58:16 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
92.31.59.19 - - [07/Feb/2019:22:58:16 +0000] "GET /images/chicken.png HTTP/1.1" 404 1096
92.31.59.19 - - [07/Feb/2019:22:58:16 +0000] "GET /favicon.ico HTTP/1.1" 404 1085
92.31.59.19 - - [07/Feb/2019:22:58:19 +0000] "GET /devTomCatInfo/ HTTP/1.1" 200 11286
